ref before_x before_y before_rot after_x after_y after_rot
C1 62.000 8.000 0.0 62.000 7.500 0.0
C2 70.000 8.000 0.0 93.200 6.200 0.0
C10 80.000 35.700 0.0 62.400 76.600 0.0
C20 96.000 35.700 0.0 97.600 76.600 0.0
C30 80.000 65.500 0.0 62.400 32.200 0.0
C40 96.000 65.500 0.0 97.600 32.200 0.0
C101 54.800 82.200 0.0 66.000 54.300 0.0
C102 62.800 82.200 0.0 70.000 54.300 0.0
C103 70.800 82.200 0.0 74.000 54.300 0.0
C104 78.800 82.200 0.0 78.000 54.300 0.0
C105 54.800 86.500 0.0 82.000 54.300 0.0
C106 62.800 86.500 0.0 86.000 54.300 0.0
C107 70.800 86.500 0.0 90.000 54.300 0.0
C108 78.800 86.500 0.0 94.000 54.300 0.0
D1 88.000 24.000 90.0 106.000 22.000 90.0
F1 58.000 18.000 0.0 100.000 15.000 -90.0
J2 92.000 11.000 0.0 80.000 12.000 0.0
J3 92.000 82.000 0.0 80.000 86.500 0.0
R1 74.000 23.000 0.0 56.000 18.500 0.0
R2 78.000 23.000 0.0 56.000 21.500 90.0
R10 76.000 35.700 0.0 58.200 76.600 0.0
R20 92.000 35.700 0.0 101.800 76.600 0.0
R30 76.000 65.500 0.0 58.200 32.200 0.0
R40 92.000 65.500 0.0 101.800 32.200 0.0
R101 49.200 82.200 0.0 66.000 52.400 0.0
R102 57.200 82.200 0.0 70.000 52.400 0.0
R103 65.200 82.200 0.0 74.000 52.400 0.0
R104 73.200 82.200 0.0 78.000 52.400 0.0
R105 49.200 86.500 0.0 82.000 52.400 0.0
R106 57.200 86.500 0.0 86.000 52.400 0.0
R107 65.200 86.500 0.0 90.000 52.400 0.0
R108 73.200 86.500 0.0 94.000 52.400 0.0
R201 52.000 73.500 0.0 66.000 56.200 0.0
R202 60.000 73.500 0.0 70.000 56.200 0.0
R203 68.000 73.500 0.0 74.000 56.200 0.0
R204 76.000 73.500 0.0 78.000 56.200 0.0
R205 52.000 81.500 0.0 82.000 56.200 0.0
R206 60.000 81.500 0.0 86.000 56.200 0.0
R207 68.000 81.500 0.0 90.000 56.200 0.0
R208 76.000 81.500 0.0 94.000 56.200 0.0
U1 80.000 40.000 -90.0 66.000 69.400 0.0
U2 96.000 40.000 -90.0 94.000 69.400 180.0
U3 80.000 53.000 90.0 66.000 39.200 0.0
U4 96.000 53.000 90.0 94.000 39.200 180.0
U11 52.000 69.500 0.0 67.100 48.500 180.0
U12 60.000 69.500 0.0 75.700 48.500 180.0
U13 68.000 69.500 0.0 84.300 48.500 0.0
U14 76.000 69.500 0.0 92.900 48.500 0.0
U15 52.000 77.500 0.0 67.100 60.100 180.0
U16 60.000 77.500 0.0 75.700 60.100 180.0
U17 68.000 77.500 0.0 84.300 60.100 0.0
U18 76.000 77.500 0.0 92.900 60.100 0.0
